chap_num,para_num,sent_num,token_num,token_str
1,1,0,0,Sir
1,1,0,1,Walter
1,1,0,2,"Elliot,"
1,1,0,3,of
1,1,0,4,Kellynch
1,1,0,5,"Hall,"
1,1,0,6,in
1,1,0,7,"Somersetshire,"
1,1,0,8,was
1,1,0,9,a
1,1,0,10,man
1,1,0,11,"who,"
1,1,0,12,for
1,1,0,13,his
1,1,0,14,own
1,1,0,15,"amusement,"
1,1,0,16,never
1,1,0,17,took
1,1,0,18,up
1,1,0,19,any
1,1,0,20,book
1,1,0,21,but
1,1,0,22,the
1,1,0,23,Baronetage
1,1,1,0,
1,1,1,1,there
1,1,1,2,he
1,1,1,3,found
1,1,1,4,occupation
1,1,1,5,for
1,1,1,6,an
1,1,1,7,idle
1,1,1,8,"hour,"
1,1,1,9,and
1,1,1,10,consolation
1,1,1,11,in
1,1,1,12,a
1,1,1,13,distressed
1,1,1,14,one
1,1,2,0,
1,1,2,1,there
1,1,2,2,his
1,1,2,3,faculties
1,1,2,4,were
1,1,2,5,roused
1,1,2,6,into
1,1,2,7,admiration
1,1,2,8,and
1,1,2,9,"respect,"
1,1,2,10,by
1,1,2,11,contemplating
1,1,2,12,the
1,1,2,13,limited
1,1,2,14,remnant
1,1,2,15,of
1,1,2,16,the
1,1,2,17,earliest
1,1,2,18,patents
1,1,3,0,
1,1,3,1,there
1,1,3,2,any
1,1,3,3,unwelcome
1,1,3,4,"sensations,"
1,1,3,5,arising
1,1,3,6,from
1,1,3,7,domestic
1,1,3,8,affairs
1,1,3,9,changed
1,1,3,10,naturally
1,1,3,11,into
1,1,3,12,pity
1,1,3,13,and
1,1,3,14,contempt
1,1,3,15,as
1,1,3,16,he
1,1,3,17,turned
1,1,3,18,over
1,1,3,19,the
1,1,3,20,almost
1,1,3,21,endless
1,1,3,22,creations
1,1,3,23,of
1,1,3,24,the
1,1,3,25,last
1,1,3,26,century
1,1,4,0,
1,1,4,1,and
1,1,4,2,"there,"
1,1,4,3,if
1,1,4,4,every
1,1,4,5,other
1,1,4,6,leaf
1,1,4,7,were
1,1,4,8,"powerless,"
1,1,4,9,he
1,1,4,10,could
1,1,4,11,read
1,1,4,12,his
1,1,4,13,own
1,1,4,14,history
1,1,4,15,with
1,1,4,16,an
1,1,4,17,interest
1,1,4,18,which
1,1,4,19,never
1,1,4,20,failed
1,1,5,0,
1,1,5,1,This
1,1,5,2,was
1,1,5,3,the
1,1,5,4,page
1,1,5,5,at
1,1,5,6,which
1,1,5,7,the
1,1,5,8,favourite
1,1,5,9,volume
1,1,5,10,always
1,1,5,11,opened:
1,2,0,0,"""ELLIOT"
1,2,0,1,OF
1,2,0,2,KELLYNCH
1,2,0,3,HALL
1,3,0,0,"""Walter"
1,3,0,1,"Elliot,"
1,3,0,2,born
1,3,0,3,March
1,3,0,4,"1,"
1,3,0,5,"1760,"
1,3,0,6,"married,"
1,3,0,7,July
1,3,0,8,"15,"
1,3,0,9,"1784,"
1,3,0,10,"Elizabeth,"
1,3,0,11,daughter
1,3,0,12,of
1,3,0,13,James
1,3,0,14,"Stevenson,"
1,3,0,15,Esq
1,3,1,0,
1,3,1,1,of
1,3,1,2,South
1,3,1,3,"Park,"
1,3,1,4,in
1,3,1,5,the
1,3,1,6,county
1,3,1,7,of
1,3,1,8,"Gloucester,"
1,3,1,9,by
1,3,1,10,which
1,3,1,11,lady
1,3,1,12,(who
1,3,1,13,died
1,3,1,14,1800)
1,3,1,15,he
1,3,1,16,has
1,3,1,17,issue
1,3,1,18,"Elizabeth,"
1,3,1,19,born
1,3,1,20,June
1,3,1,21,"1,"
1,3,1,22,1785
1,3,2,0,
1,3,2,1,"Anne,"
1,3,2,2,born
1,3,2,3,August
1,3,2,4,"9,"
1,3,2,5,1787
1,3,3,0,
1,3,3,1,a
1,3,3,2,still-born
1,3,3,3,"son,"
1,3,3,4,November
1,3,3,5,"5,"
1,3,3,6,1789
1,3,4,0,
1,3,4,1,"Mary,"
1,3,4,2,born
1,3,4,3,November
1,3,4,4,"20,"
1,3,4,5,1791
1,3,5,0,""""
1,4,0,0,Precisely
1,4,0,1,such
1,4,0,2,had
1,4,0,3,the
1,4,0,4,paragraph
1,4,0,5,originally
1,4,0,6,stood
1,4,0,7,from
1,4,0,8,the
1,4,0,9,printer's
1,4,0,10,hands
1,4,1,0,
1,4,1,1,but
1,4,1,2,Sir
1,4,1,3,Walter
1,4,1,4,had
1,4,1,5,improved
1,4,1,6,it
1,4,1,7,by
1,4,1,8,"adding,"
1,4,1,9,for
1,4,1,10,the
1,4,1,11,information
1,4,1,12,of
1,4,1,13,himself
1,4,1,14,and
1,4,1,15,his
1,4,1,16,"family,"
1,4,1,17,these
1,4,1,18,"words,"
1,4,1,19,after
1,4,1,20,the
1,4,1,21,date
1,4,1,22,of
1,4,1,23,Mary's
1,4,1,24,birth--
1,4,1,25,"""Married,"
1,4,1,26,December
1,4,1,27,"16,"
1,4,1,28,"1810,"
1,4,1,29,"Charles,"
1,4,1,30,son
1,4,1,31,and
1,4,1,32,heir
1,4,1,33,of
1,4,1,34,Charles
1,4,1,35,"Musgrove,"
1,4,1,36,Esq
1,4,2,0,
1,4,2,1,of
1,4,2,2,"Uppercross,"
1,4,2,3,in
1,4,2,4,the
1,4,2,5,county
1,4,2,6,of
1,4,2,7,"Somerset,"""
1,4,2,8,and
1,4,2,9,by
1,4,2,10,inserting
1,4,2,11,most
1,4,2,12,accurately
1,4,2,13,the
1,4,2,14,day
1,4,2,15,of
1,4,2,16,the
1,4,2,17,month
1,4,2,18,on
1,4,2,19,which
1,4,2,20,he
1,4,2,21,had
1,4,2,22,lost
1,4,2,23,his
1,4,2,24,wife
1,5,0,0,Then
1,5,0,1,followed
1,5,0,2,the
1,5,0,3,history
1,5,0,4,and
1,5,0,5,rise
1,5,0,6,of
1,5,0,7,the
1,5,0,8,ancient
1,5,0,9,and
1,5,0,10,respectable
1,5,0,11,"family,"
1,5,0,12,in
1,5,0,13,the
1,5,0,14,usual
1,5,0,15,terms
1,5,1,0,
1,5,1,1,how
1,5,1,2,it
1,5,1,3,had
1,5,1,4,been
1,5,1,5,first
1,5,1,6,settled
1,5,1,7,in
1,5,1,8,Cheshire
1,5,2,0,
1,5,2,1,how
1,5,2,2,mentioned
1,5,2,3,in
1,5,2,4,"Dugdale,"
1,5,2,5,serving
1,5,2,6,the
1,5,2,7,office
1,5,2,8,of
1,5,2,9,high
1,5,2,10,"sheriff,"
1,5,2,11,representing
1,5,2,12,a
1,5,2,13,borough
1,5,2,14,in
1,5,2,15,three
1,5,2,16,successive
1,5,2,17,"parliaments,"
1,5,2,18,exertions
1,5,2,19,of
1,5,2,20,"loyalty,"
1,5,2,21,and
1,5,2,22,dignity
1,5,2,23,of
1,5,2,24,"baronet,"
1,5,2,25,in
1,5,2,26,the
1,5,2,27,first
1,5,2,28,year
1,5,2,29,of
1,5,2,30,Charles
1,5,2,31,"II,"
1,5,2,32,with
1,5,2,33,all
1,5,2,34,the
1,5,2,35,Marys
1,5,2,36,and
1,5,2,37,Elizabeths
1,5,2,38,they
1,5,2,39,had
1,5,2,40,married
1,5,3,0,
